Allocated FAST memory 0@0x2193ec, size 16 (C:/prg/_git/germz/deps/ace/src/ace/managers/copper.c:136)
Allocated FAST memory 1@0x231b6c, size 8 (C:/prg/_git/germz/deps/ace/src/ace/managers/copper.c:138)
Allocated FAST memory 2@0x231cbc, size 8 (C:/prg/_git/germz/deps/ace/src/ace/managers/copper.c:139)
Allocated FAST memory 3@0x231d34, size 16 (C:/prg/_git/germz/deps/ace/src/ace/managers/game.c:31)
Allocated FAST memory 4@0x266fdc, size 12 (C:/prg/_git/germz/deps/ace/src/ace/utils/extview.c:16)
Allocated FAST memory 5@0x26779c, size 16 (C:/prg/_git/germz/deps/ace/src/ace/managers/copper.c:136)
Allocated FAST memory 6@0x26733c, size 8 (C:/prg/_git/germz/deps/ace/src/ace/managers/copper.c:138)
Allocated FAST memory 7@0x267a1c, size 8 (C:/prg/_git/germz/deps/ace/src/ace/managers/copper.c:139)
Allocated FAST memory 8@0x267b9c, size 88 (C:/prg/_git/germz/deps/ace/src/ace/utils/extview.c:145)
Allocated FAST memory 9@0x267a4c, size 42 (C:/prg/_git/germz/deps/ace/src/ace/managers/viewport/simplebuffer.c:115)
Allocated FAST memory 10@0x267c3c, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:29)
Allocated CHIP memory 11@0x1c614, size 51200 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:42)
Allocated FAST memory 12@0x267ce4, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:29)
Allocated CHIP memory 13@0x28e1c, size 51200 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:42)
Allocated FAST memory 14@0x267e74, size 36 (C:/prg/_git/germz/deps/ace/src/ace/managers/viewport/camera.c:18)
Allocated FAST memory 15@0x267f54, size 20 (C:/prg/_git/germz/deps/ace/src/ace/managers/copper.c:216)
Allocated FAST memory 16@0x2684a4, size 60 (C:/prg/_git/germz/deps/ace/src/ace/managers/copper.c:219)
Allocated FAST memory 17@0x2680f4, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:29)
Allocated CHIP memory 18@0x35624, size 1280 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:42)
Allocated FAST memory 19@0x268194, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:29)
Allocated CHIP memory 20@0x35b2c, size 1280 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:42)
Allocated FAST memory 21@0x2682b4, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:29)
Allocated CHIP memory 22@0x36034, size 1280 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:42)
Allocated FAST memory 23@0x268354, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:29)
Allocated CHIP memory 24@0x3653c, size 1280 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:42)
Allocated FAST memory 25@0x2683b4, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:29)
Allocated CHIP memory 26@0x36a44, size 1280 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:42)
Allocated FAST memory 27@0x268454, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:29)
Allocated CHIP memory 28@0x36f4c, size 1280 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:42)
Allocated FAST memory 29@0x2684fc, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:29)
Allocated CHIP memory 30@0x37454, size 1280 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:42)
Allocated FAST memory 31@0x268594, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:29)
Allocated CHIP memory 32@0x3795c, size 1280 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:42)
Allocated FAST memory 33@0x268624, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:29)
Allocated CHIP memory 34@0x37e64, size 1280 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:42)
Allocated FAST memory 35@0x268674, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:29)
Allocated CHIP memory 36@0x3836c, size 640 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:42)
Allocated FAST memory 37@0x2686c4, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:29)
Allocated CHIP memory 38@0x385f4, size 640 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:42)
Allocated FAST memory 39@0x26873c, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:29)
Allocated CHIP memory 40@0x3887c, size 160 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:42)
Allocated FAST memory 41@0x26878c, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:29)
Allocated CHIP memory 42@0x38924, size 160 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:42)
Allocated FAST memory 43@0x2687dc, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:29)
Allocated CHIP memory 44@0x389cc, size 160 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:42)
Allocated FAST memory 45@0x26882c, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:29)
